,title,genres,overview,cast,crew,summary
2175,the thing,"['Horror', 'Mystery', 'ScienceFiction']","['Scientists', 'in', 'the', 'Antarctic', 'are', 'confronted', 'by', 'a', 'shape-shifting', 'alien', 'that', 'assumes', 'the', 'appearance', 'of', 'the', 'people', 'that', 'it', 'kills.']","['KurtRussell', 'KeithDavid', 'WilfordBrimley', 'DonaldMoffat', 'RichardDysart', 'CharlesHallahan', 'T.K.Carter', 'DavidClennon', 'PeterMaloney', 'RichardMasur', 'JoelPolis', 'ThomasG.Waites']",['JohnCarpenter'],Scientists in the Antarctic are confronted by a shape-shifting alien that assumes the appearance of the people that it kills. Horror Mystery ScienceFiction KurtRussell KeithDavid WilfordBrimley DonaldMoffat RichardDysart CharlesHallahan T.K.Carter DavidClennon PeterMaloney RichardMasur JoelPolis ThomasG.Waites JohnCarpenter
2215,vampires,"['Action', 'Drama', 'Fantasy', 'Horror', 'Thriller']","['The', 'church', 'enlists', 'a', 'team', 'of', 'vampire-hunters', 'to', 'hunt', 'down', 'and', 'destroy', 'a', 'group', 'of', 'vampires', 'searching', 'for', 'an', 'ancient', 'relic', 'that', 'will', 'allow', 'them', 'to', 'exist', 'in', 'sunlight.']","['JamesWoods', 'DanielBaldwin', 'SherylLee', 'ThomasIanGriffith', 'MaximilianSchell', 'TimGuinee', 'MarkBooneJunior', 'GregorySierra', 'Cary-HiroyukiTagawa', 'ThomasRosales,Jr.', 'ClarkeColeman', 'MarkSivertsen']",['JohnCarpenter'],"The church enlists a team of vampire-hunters to hunt down and destroy a group of vampires searching for an ancient relic that will allow them to exist in sunlight. Action Drama Fantasy Horror Thriller JamesWoods DanielBaldwin SherylLee ThomasIanGriffith MaximilianSchell TimGuinee MarkBooneJunior GregorySierra Cary-HiroyukiTagawa ThomasRosales,Jr. ClarkeColeman MarkSivertsen JohnCarpenter"
2263,a view to a kill,"['Adventure', 'Action', 'Thriller']","['A', 'newly', 'developed', 'microchip', 'designed', 'by', 'Zorin', 'Industries', 'for', 'the', 'British', 'Government', 'that', 'can', 'survive', 'the', 'electromagnetic', 'radiation', 'caused', 'by', 'a', 'nuclear', 'explosion', 'has', 'landed', 'in', 'the', 'hands', 'of', 'the', 'KGB.', 'James', 'Bond', 'must', 'find', 'out', 'how', 'and', 'why.', 'His', 'suspicions', 'soon', 'lead', 'him', 'to', 'big', 'industry', 'leader', 'Max', 'Zorin.']","['RogerMoore', 'ChristopherWalken', 'TanyaRoberts', 'GraceJones', 'PatrickMacnee', 'PatrickBauchau', 'DavidYip', 'FionaFullerton', 'ManningRedwood', 'AlisonDoody', 'WilloughbyGray', 'DesmondLlewelyn', 'RobertBrown', 'LoisMaxwell', 'WalterGotell', 'GeoffreyKeen', 'JeanRougerie', 'DanielBenzali', 'BogdanKominowski', 'PapillonSoo', 'MaryStavin', 'DominiqueRisbourg', 'CaroleAshby', 'AnthonyChinn', 'LucienJérôme', 'JoeFlood', 'GerardBühr', 'DolphLundgren', 'TonySibbald', 'BillAckridge', 'RonTarr', 'TaylorMcAuley', 'PeterEnsor', 'SevaNovgorodtsev', 'SianAdey-Jones', 'CarolineHallett', 'NikeClark', 'PaulaThomas', 'GloriaDouse', 'Lou-AnneRonchi', 'ElkeRitschel', 'MayakoTorigai']",['JohnGlen'],A newly developed microchip designed by Zorin Industries for the British Government that can survive the electromagnetic radiation caused by a nuclear explosion has landed in the hands of the KGB. James Bond must find out how and why. His suspicions soon lead him to big industry leader Max Zorin. Adventure Action Thriller RogerMoore ChristopherWalken TanyaRoberts GraceJones PatrickMacnee PatrickBauchau DavidYip FionaFullerton ManningRedwood AlisonDoody WilloughbyGray DesmondLlewelyn RobertBrown LoisMaxwell WalterGotell GeoffreyKeen JeanRougerie DanielBenzali BogdanKominowski PapillonSoo MaryStavin DominiqueRisbourg CaroleAshby AnthonyChinn LucienJérôme JoeFlood GerardBühr DolphLundgren TonySibbald BillAckridge RonTarr TaylorMcAuley PeterEnsor SevaNovgorodtsev SianAdey-Jones CarolineHallett NikeClark PaulaThomas GloriaDouse Lou-AnneRonchi ElkeRitschel MayakoTorigai JohnGlen
2416,planet of the apes,"['ScienceFiction', 'Adventure', 'Drama', 'Action']","['An', 'U.S.', 'Spaceship', 'lands', 'on', 'a', 'desolate', 'planet,', 'stranding', 'astronaut', 'Taylor', 'in', 'a', 'world', 'dominated', 'by', 'apes,', '2000', 'years', 'into', 'the', 'future,', 'who', 'use', 'a', 'primitive', 'race', 'of', 'humans', 'for', 'experimentation', 'and', 'sport.', 'Soon', 'Taylor', 'finds', 'himself', 'among', 'the', 'hunted,', 'his', 'life', 'in', 'the', 'hands', 'of', 'a', 'benevolent', 'chimpanzee', 'scientist.']","['CharltonHeston', 'RoddyMcDowall', 'KimHunter', 'MauriceEvans', 'JamesDaly', 'LindaHarrison', 'RobertGunner', 'LouWagner', 'WoodrowParfrey', 'JeffBurton', 'JamesWhitmore', 'BuckKartalian', 'NormanBurton', 'WrightKing', 'PaulLambert', 'ArmyArcherd', 'EldonBurke', 'WilliamGraeffJr.', 'LarsHensen', 'FelixSilla', 'JamesBacon', 'BillyCurtis', 'FrankDelfino', 'BuddyDouglas', 'JerryMaren', 'HarryMonty', 'DavidChow', 'CassMartin', 'SmokeyRoberds', 'JoeTornatore', 'DianneStanley']",['FranklinJ.Schaffner'],"An U.S. Spaceship lands on a desolate planet, stranding astronaut Taylor in a world dominated by apes, 2000 years into the future, who use a primitive race of humans for experimentation and sport. Soon Taylor finds himself among the hunted, his life in the hands of a benevolent chimpanzee scientist. ScienceFiction Adventure Drama Action CharltonHeston RoddyMcDowall KimHunter MauriceEvans JamesDaly LindaHarrison RobertGunner LouWagner WoodrowParfrey JeffBurton JamesWhitmore BuckKartalian NormanBurton WrightKing PaulLambert ArmyArcherd EldonBurke WilliamGraeffJr. LarsHensen FelixSilla JamesBacon BillyCurtis FrankDelfino BuddyDouglas JerryMaren HarryMonty DavidChow CassMartin SmokeyRoberds JoeTornatore DianneStanley FranklinJ.Schaffner"
2458,the matrix,"['Action', 'ScienceFiction']","['Set', 'in', 'the', '22nd', 'century,', 'The', 'Matrix', 'tells', 'the', 'story', 'of', 'a', 'computer', 'hacker', 'who', 'joins', 'a', 'group', 'of', 'underground', 'insurgents', 'fighting', 'the', 'vast', 'and', 'powerful', 'computers', 'who', 'now', 'rule', 'the', 'earth.']","['KeanuReeves', 'LaurenceFishburne', 'Carrie-AnneMoss', 'HugoWeaving', 'GloriaFoster', 'JoePantoliano', 'MarcusChong', 'PaulGoddard', 'RobertTaylor', 'JulianArahanga', 'MattDoran', 'BelindaMcClory', 'AnthonyRayParker', 'DavidAston', 'MarcAden', 'AdaNicodemou', 'DeniGordon', 'RowanWitt', 'EleanorWitt', 'TamaraBrown', 'JanayaPender', 'AdrynWhite', 'NatalieTjen', 'BillYoung', ""DavidO'Connor"", 'JeremyBall', 'FionaJohnson', 'HarryLawrence', 'SteveDodd', 'LukeQuinton', 'LawrenceWoodward', 'MichaelButcher', 'BernardLedger', 'RobertSimper', 'ChrisPattinson', 'NigelHarbach']","['LanaWachowski', 'LillyWachowski']","Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth. Action ScienceFiction KeanuReeves LaurenceFishburne Carrie-AnneMoss HugoWeaving GloriaFoster JoePantoliano MarcusChong PaulGoddard RobertTaylor JulianArahanga MattDoran BelindaMcClory AnthonyRayParker DavidAston MarcAden AdaNicodemou DeniGordon RowanWitt EleanorWitt TamaraBrown JanayaPender AdrynWhite NatalieTjen BillYoung DavidO'Connor JeremyBall FionaJohnson HarryLawrence SteveDodd LukeQuinton LawrenceWoodward MichaelButcher BernardLedger RobertSimper ChrisPattinson NigelHarbach LanaWachowski LillyWachowski"
2503,the mummy,"['Adventure', 'Action', 'Fantasy']","['Dashing', 'legionnaire', 'Rick', ""O'Connell"", 'and', 'his', 'companion,', 'Beni', 'stumble', 'upon', 'the', 'hidden', 'ruins', 'of', 'Hamunaptra', 'while', 'in', 'the', 'midst', 'of', 'a', 'battle', 'in', '1923,', '3,000', 'years', 'after', 'Imhotep', 'has', 'suffered', 'a', 'fate', 'worse', 'than', 'death', '–', 'his', 'body', 'will', 'remain', 'undead', 'for', 'all', 'eternity', 'as', 'a', 'punishment', 'for', 'a', 'forbidden', 'love.']","['BrendanFraser', 'RachelWeisz', 'JohnHannah', 'ArnoldVosloo', ""KevinJ.O'Connor"", 'OdedFehr', 'JonathanHyde', 'ErickAvari', 'BernardFox', 'PatriciaVelásquez', 'StephenDunham', 'CoreyJohnson', 'TucWatkins', 'OmidDjalili', 'AharonIpalé', 'CarlChase', 'MohammedAfifi', 'AbderrahimElAadili', 'JakeArnott', 'MasonBall', 'IsobelBrook', 'JamesTraherneBurton', 'PeterChequer', 'PorlSmith', 'IanWarner', 'NickLaurant']",['StephenSommers'],"Dashing legionnaire Rick O'Connell and his companion, Beni stumble upon the hidden ruins of Hamunaptra while in the midst of a battle in 1923, 3,000 years after Imhotep has suffered a fate worse than death – his body will remain undead for all eternity as a punishment for a forbidden love. Adventure Action Fantasy BrendanFraser RachelWeisz JohnHannah ArnoldVosloo KevinJ.O'Connor OdedFehr JonathanHyde ErickAvari BernardFox PatriciaVelásquez StephenDunham CoreyJohnson TucWatkins OmidDjalili AharonIpalé CarlChase MohammedAfifi AbderrahimElAadili JakeArnott MasonBall IsobelBrook JamesTraherneBurton PeterChequer PorlSmith IanWarner NickLaurant StephenSommers"
2514,star wars: episode i - the phantom menace,"['Adventure', 'Action', 'ScienceFiction']","['Anakin', 'Skywalker,', 'a', 'young', 'slave', 'strong', 'with', 'the', 'Force,', 'is', 'discovered', 'on', 'Tatooine.', 'Meanwhile,', 'the', 'evil', 'Sith', 'have', 'returned,', 'enacting', 'their', 'plot', 'for', 'revenge', 'against', 'the', 'Jedi.']","['LiamNeeson', 'EwanMcGregor', 'NataliePortman', 'JakeLloyd', 'IanMcDiarmid', 'AnthonyDaniels', 'KennyBaker', 'PernillaAugust', 'FrankOz', 'OliverFordDavies', 'HughQuarshie', 'AhmedBest', 'TerenceStamp', 'SamuelL.Jackson', 'RayPark', 'PeterSerafinowicz', 'KeiraKnightley', 'SilasCarson', 'BrianBlessed', 'AndrewSecombe', 'LewisMacleod', 'GregProops', 'ScottCapurro', 'DominicWest', 'SofiaCoppola', 'RalphBrown', 'SteveSpeirs', 'WarwickDavis', 'JeromeBlake', 'AlanRuscoe', 'CeliaImrie', 'BenedictTaylor', 'ClarenceSmith', 'KarolCristinadaSilva', 'LizWilson', 'CandiceOrwell', 'BronaghGallagher', 'JohnFensom', 'MargaretTowner', 'DhruvChanchani', 'OliverWalpole', 'KatieLucas', 'MeganUdall', 'HassaniShapi', 'GinClarke', 'KhanBonfils', 'MichelleTaylor', 'MichaelaCottrell', ""DipikaO'NeillJoti"", 'PhilEason', 'MarkCoulier', 'LindsayDuncan', 'JamesTaylor', 'ChrisSanders', 'TobyLongworth', 'MarcSilk', 'AmandaLucas', 'DannyWagner']",['GeorgeLucas'],"Anakin Skywalker, a young slave strong with the Force, is discovered on Tatooine. Meanwhile, the evil Sith have returned, enacting their plot for revenge against the Jedi. Adventure Action ScienceFiction LiamNeeson EwanMcGregor NataliePortman JakeLloyd IanMcDiarmid AnthonyDaniels KennyBaker PernillaAugust FrankOz OliverFordDavies HughQuarshie AhmedBest TerenceStamp SamuelL.Jackson RayPark PeterSerafinowicz KeiraKnightley SilasCarson BrianBlessed AndrewSecombe LewisMacleod GregProops ScottCapurro DominicWest SofiaCoppola RalphBrown SteveSpeirs WarwickDavis JeromeBlake AlanRuscoe CeliaImrie BenedictTaylor ClarenceSmith KarolCristinadaSilva LizWilson CandiceOrwell BronaghGallagher JohnFensom MargaretTowner DhruvChanchani OliverWalpole KatieLucas MeganUdall HassaniShapi GinClarke KhanBonfils MichelleTaylor MichaelaCottrell DipikaO'NeillJoti PhilEason MarkCoulier LindsayDuncan JamesTaylor ChrisSanders TobyLongworth MarcSilk AmandaLucas DannyWagner GeorgeLucas"
2542,the rocky horror picture show,"['Comedy', 'Horror', 'Music', 'ScienceFiction']","['Sweethearts', 'Brad', 'and', 'Janet,', 'stuck', 'with', 'a', 'flat', 'tire', 'during', 'a', 'storm,', 'discover', 'the', 'eerie', 'mansion', 'of', 'Dr.', 'Frank-N-Furter,', 'a', 'transvestite', 'scientist.', 'As', 'their', 'innocence', 'is', 'lost,', 'Brad', 'and', 'Janet', 'meet', 'a', 'houseful', 'of', 'wild', 'characters,', 'including', 'a', 'rocking', 'biker', 'and', 'a', 'creepy', 'butler.', 'Through', 'elaborate', 'dances', 'and', 'rock', 'songs,', 'Frank-N-Furter', 'unveils', 'his', 'latest', 'creation:', 'a', 'muscular', 'man', 'named', ""'Rocky'.""]","['TimCurry', 'SusanSarandon', 'BarryBostwick', ""RichardO'Brien"", 'PatriciaQuinn', 'NellCampbell', 'JonathanAdams', 'MeatLoaf', 'CharlesGray', 'FranFullenwider', 'PeterHinwood', 'PerryBedden']",['JimSharman'],"Sweethearts Brad and Janet, stuck with a flat tire during a storm, discover the eerie mansion of Dr. Frank-N-Furter, a transvestite scientist. As their innocence is lost, Brad and Janet meet a houseful of wild characters, including a rocking biker and a creepy butler. Through elaborate dances and rock songs, Frank-N-Furter unveils his latest creation: a muscular man named 'Rocky'. Comedy Horror Music ScienceFiction TimCurry SusanSarandon BarryBostwick RichardO'Brien PatriciaQuinn NellCampbell JonathanAdams MeatLoaf CharlesGray FranFullenwider PeterHinwood PerryBedden JimSharman"
2572,tarzan,"['Adventure', 'Animation', 'Drama', 'Family']","['Tarzan', 'was', 'a', 'small', 'orphan', 'who', 'was', 'raised', 'by', 'an', 'ape', 'named', 'Kala', 'since', 'he', 'was', 'a', 'child.', 'He', 'believed', 'that', 'this', 'was', 'his', 'family,', 'but', 'on', 'an', 'expedition', 'Jane', 'Porter', 'is', 'rescued', 'by', 'Tarzan.', 'He', 'then', 'finds', 'out', 'that', ""he's"", 'human.', 'Now', 'Tarzan', 'must', 'make', 'the', 'decision', 'as', 'to', 'which', 'family', 'he', 'should', 'belong', 'to...']","['TonyGoldwyn', 'GlennClose', 'MinnieDriver', 'BrianBlessed', 'NigelHawthorne', 'LanceHenriksen', 'WayneKnight', 'AlexD.Linz', ""RosieO'Donnell"", 'TaylorDempsey', 'JasonMarsden']","['KevinLima', 'ChrisBuck']","Tarzan was a small orphan who was raised by an ape named Kala since he was a child. He believed that this was his family, but on an expedition Jane Porter is rescued by Tarzan. He then finds out that he's human. Now Tarzan must make the decision as to which family he should belong to... Adventure Animation Drama Family TonyGoldwyn GlennClose MinnieDriver BrianBlessed NigelHawthorne LanceHenriksen WayneKnight AlexD.Linz RosieO'Donnell TaylorDempsey JasonMarsden KevinLima ChrisBuck"
2595,the blair witch project,"['Horror', 'Mystery']","['In', 'October', 'of', '1994', 'three', 'student', 'filmmakers', 'disappeared', 'in', 'the', 'woods', 'near', 'Burkittsville,', 'Maryland,', 'while', 'shooting', 'a', 'documentary.', 'A', 'year', 'later', 'their', 'footage', 'was', 'found.']","['MichaelC.Williams', 'HeatherDonahue', 'JoshuaLeonard', 'BobGriffith', 'JimKing', 'SandraSánchez', 'EdSwanson', 'PatriciaDeCou', 'MarkMason', 'JackieHallex']","['DanielMyrick', 'EduardoSánchez']","In October of 1994 three student filmmakers disappeared in the woods near Burkittsville, Maryland, while shooting a documentary. A year later their footage was found. Horror Mystery MichaelC.Williams HeatherDonahue JoshuaLeonard BobGriffith JimKing SandraSánchez EdSwanson PatriciaDeCou MarkMason JackieHallex DanielMyrick EduardoSánchez"
2601,ghostbusters,"['Comedy', 'Fantasy']","['After', 'losing', 'their', 'academic', 'posts', 'at', 'a', 'prestigious', 'university,', 'a', 'team', 'of', 'parapsychologists', 'goes', 'into', 'business', 'as', 'proton-pack-toting', '""ghostbusters""', 'who', 'exterminate', 'ghouls,', 'hobgoblins', 'and', 'supernatural', 'pests', 'of', 'all', 'stripes.', 'An', 'ad', 'campaign', 'pays', 'off', 'when', 'a', 'knockout', 'cellist', 'hires', 'the', 'squad', 'to', 'purge', 'her', 'swanky', 'digs', 'of', 'demons', 'that', 'appear', 'to', 'be', 'living', 'in', 'her', 'refrigerator.']","['BillMurray', 'DanAykroyd', 'SigourneyWeaver', 'HaroldRamis', 'RickMoranis', 'AnniePotts', 'WilliamAtherton', 'ErnieHudson', 'DavidMargulies', 'JenniferRunyon', 'MichaelEnsign', 'SlavitzaJovan', 'StevenTash', 'AliceDrummond', 'JordanCharney', 'TimothyCarhart', 'JohnRothman', 'TomMcDermott', 'JohnRing', 'NormanMatlock', 'JoeCirillo', 'JoeSchmieg', 'RogerGrimsby', 'LarryKing', 'JoeFranklin', 'CaseyKasem', 'ReginaldVelJohnson', 'RhodaGemignani', 'MurrayRubin', 'LarryDilg', 'DannyStone', 'PattyDworkin', 'JeanKasem', 'LennyDelGenio', 'FrancesE.Nealy', 'SamMoses', 'ChristopherWynkoop', 'WinstonMay', 'TommyHollis', 'EdaReissMerin', 'RicMancini', 'CarolAnnHenry', 'JamesHardie', 'FrantzTurner', 'PaulTrafas', 'CherylBirchenfield', 'KymberlyHerrin', 'StanleyGrover', 'RuthOliver', 'NancyKelly']",['IvanReitman'],"After losing their academic posts at a prestigious university, a team of parapsychologists goes into business as proton-pack-toting ""ghostbusters"" who exterminate ghouls, hobgoblins and supernatural pests of all stripes. An ad campaign pays off when a knockout cellist hires the squad to purge her swanky digs of demons that appear to be living in her refrigerator. Comedy Fantasy BillMurray DanAykroyd SigourneyWeaver HaroldRamis RickMoranis AnniePotts WilliamAtherton ErnieHudson DavidMargulies JenniferRunyon MichaelEnsign SlavitzaJovan StevenTash AliceDrummond JordanCharney TimothyCarhart JohnRothman TomMcDermott JohnRing NormanMatlock JoeCirillo JoeSchmieg RogerGrimsby LarryKing JoeFranklin CaseyKasem ReginaldVelJohnson RhodaGemignani MurrayRubin LarryDilg DannyStone PattyDworkin JeanKasem LennyDelGenio FrancesE.Nealy SamMoses ChristopherWynkoop WinstonMay TommyHollis EdaReissMerin RicMancini CarolAnnHenry JamesHardie FrantzTurner PaulTrafas CherylBirchenfield KymberlyHerrin StanleyGrover RuthOliver NancyKelly IvanReitman"
2785,phantasm,"['Horror', 'ScienceFiction']","['A', 'young', 'boy', 'and', 'his', 'friends', 'face', 'off', 'against', 'a', 'mysterious', 'grave', 'robber', 'known', 'only', 'as', 'the', 'Tall', 'Man,', 'who', 'keeps', 'a', 'mysterious', 'arsenal', 'of', 'terrible', 'weapons', 'with', 'him.']","['AngusScrimm', 'A.MichaelBaldwin', 'BillThornbury', 'ReggieBannister', 'KathyLester', 'TerrieKalbus', 'LynnEastman-Rossi', 'KennethV.Jones', 'SusanHarper', 'DavidArntzen', 'RalphRichmond', 'BillCone']",['DonCoscarelli'],"A young boy and his friends face off against a mysterious grave robber known only as the Tall Man, who keeps a mysterious arsenal of terrible weapons with him. Horror ScienceFiction AngusScrimm A.MichaelBaldwin BillThornbury ReggieBannister KathyLester TerrieKalbus LynnEastman-Rossi KennethV.Jones SusanHarper DavidArntzen RalphRichmond BillCone DonCoscarelli"
2831,goldfinger,"['Adventure', 'Action', 'Thriller']","['Special', 'agent', '007', '(Sean', 'Connery)', 'comes', 'face', 'to', 'face', 'with', 'one', 'of', 'the', 'most', 'notorious', 'villains', 'of', 'all', 'time,', 'and', 'now', 'he', 'must', 'outwit', 'and', 'outgun', 'the', 'powerful', 'tycoon', 'to', 'prevent', 'him', 'from', 'cashing', 'in', 'on', 'a', 'devious', 'scheme', 'to', 'raid', 'Fort', 'Knox', '--', 'and', 'obliterate', 'the', ""world's"", 'economy.']","['SeanConnery', 'HonorBlackman', 'GertFröbe', 'ShirleyEaton', 'TaniaMallet', 'HaroldSakata', 'BernardLee', 'MartinBenson', 'CecLinder', 'AustinWillis', 'LoisMaxwell', 'DesmondLlewelyn', 'BurtKwouk', 'NadjaRegin', 'MargaretNolan', 'BillNagy', 'MichaelMellinger', 'PeterCranwell', 'RichardVernon', 'MaiLing', 'VarleyThomas', 'JohnMcLaren', 'RobertMacLeod', 'VictorBrooks', 'AlfJoint', 'GerryDuggan', 'CaronGardner', 'HalGalili', 'RolandBrand', 'BillBrandon', 'NormanChancer', 'BillEdwards', 'LaurenceHerder', 'WilliamHurndell', 'JohnMaxim', 'JohnMcCarthy', 'LennyRabbin', 'RaymondYoung']",['GuyHamilton'],"Special agent 007 (Sean Connery) comes face to face with one of the most notorious villains of all time, and now he must outwit and outgun the powerful tycoon to prevent him from cashing in on a devious scheme to raid Fort Knox -- and obliterate the world's economy. Adventure Action Thriller SeanConnery HonorBlackman GertFröbe ShirleyEaton TaniaMallet HaroldSakata BernardLee MartinBenson CecLinder AustinWillis LoisMaxwell DesmondLlewelyn BurtKwouk NadjaRegin MargaretNolan BillNagy MichaelMellinger PeterCranwell RichardVernon MaiLing VarleyThomas JohnMcLaren RobertMacLeod VictorBrooks AlfJoint GerryDuggan CaronGardner HalGalili RolandBrand BillBrandon NormanChancer BillEdwards LaurenceHerder WilliamHurndell JohnMaxim JohnMcCarthy LennyRabbin RaymondYoung GuyHamilton"
2832,from russia with love,"['Action', 'Thriller', 'Adventure']","['Agent', '007', 'is', 'back', 'in', 'the', 'second', 'installment', 'of', 'the', 'James', 'Bond', 'series,', 'this', 'time', 'battling', 'a', 'secret', 'crime', 'organization', 'known', 'as', 'SPECTRE.', 'Russians', 'Rosa', 'Klebb', 'and', 'Kronsteen', 'are', 'out', 'to', 'snatch', 'a', 'decoding', 'device', 'known', 'as', 'the', 'Lektor,', 'using', 'the', 'ravishing', 'Tatiana', 'to', 'lure', 'Bond', 'into', 'helping', 'them.', 'Bond', 'willingly', 'travels', 'to', 'meet', 'Tatiana', 'in', 'Istanbul,', 'where', 'he', 'must', 'rely', 'on', 'his', 'wits', 'to', 'escape', 'with', 'his', 'life', 'in', 'a', 'series', 'of', 'deadly', 'encounters', 'with', 'the', 'enemy']","['SeanConnery', 'DanielaBianchi', 'PedroArmendáriz', 'LotteLenya', 'RobertShaw', 'BernardLee', 'EuniceGayson', 'WalterGotell', 'FrancisdeWolff', 'NadjaRegin', 'LoisMaxwell', 'AlizaGur', 'DesmondLlewelyn', 'VladekSheybal', 'GeorgePastell', 'MartineBeswick', 'JanWilliams', 'PeterMadden', 'JulieMendez', 'AnthonyDawson', 'HasanCeylan', 'NevilleJason', 'PeterBayliss', 'NusretAtaer', 'PeterBrayham', 'BillBrandon', 'MorisFarhi', 'AlfMangan', 'DidoPlumb', 'ErnieRice', 'FredWood', 'AndreCharisse', 'HugodeVernier', 'ElizabethCounsell', 'MichaelCulver', 'VictorHarrington', 'AileenLewis', 'BarbaraJefford', ""JimO'Brady"", 'EricPohlmann', 'PatRyan', 'BobSimmons', 'GordonSterne', 'NikkiVanderZyl', 'BedriÇavusoglu']",['TerenceYoung'],"Agent 007 is back in the second installment of the James Bond series, this time battling a secret crime organization known as SPECTRE. Russians Rosa Klebb and Kronsteen are out to snatch a decoding device known as the Lektor, using the ravishing Tatiana to lure Bond into helping them. Bond willingly travels to meet Tatiana in Istanbul, where he must rely on his wits to escape with his life in a series of deadly encounters with the enemy Action Thriller Adventure SeanConnery DanielaBianchi PedroArmendáriz LotteLenya RobertShaw BernardLee EuniceGayson WalterGotell FrancisdeWolff NadjaRegin LoisMaxwell AlizaGur DesmondLlewelyn VladekSheybal GeorgePastell MartineBeswick JanWilliams PeterMadden JulieMendez AnthonyDawson HasanCeylan NevilleJason PeterBayliss NusretAtaer PeterBrayham BillBrandon MorisFarhi AlfMangan DidoPlumb ErnieRice FredWood AndreCharisse HugodeVernier ElizabethCounsell MichaelCulver VictorHarrington AileenLewis BarbaraJefford JimO'Brady EricPohlmann PatRyan BobSimmons GordonSterne NikkiVanderZyl BedriÇavusoglu TerenceYoung"
2833,dr. no,"['Adventure', 'Action', 'Thriller']","['In', 'the', 'film', 'that', 'launched', 'the', 'James', 'Bond', 'saga,', 'Agent', '007', 'battles', 'mysterious', 'Dr.', 'No,', 'a', 'scientific', 'genius', 'bent', 'on', 'destroying', 'the', 'U.S.', 'space', 'program.', 'As', 'the', 'countdown', 'to', 'disaster', 'begins,', 'Bond', 'must', 'go', 'to', 'Jamaica,', 'where', 'he', 'encounters', 'beautiful', 'Honey', 'Ryder,', 'to', 'confront', 'a', 'megalomaniacal', 'villain', 'in', 'his', 'massive', 'island', 'headquarters.']","['SeanConnery', 'UrsulaAndress', 'JosephWiseman', 'JackLord', 'BernardLee', 'AnthonyDawson', 'ZenaMarshall', 'JohnKitzmiller', 'EuniceGayson', 'LoisMaxwell', 'PeterBurton']",['TerenceYoung'],"In the film that launched the James Bond saga, Agent 007 battles mysterious Dr. No, a scientific genius bent on destroying the U.S. space program. As the countdown to disaster begins, Bond must go to Jamaica, where he encounters beautiful Honey Ryder, to confront a megalomaniacal villain in his massive island headquarters. Adventure Action Thriller SeanConnery UrsulaAndress JosephWiseman JackLord BernardLee AnthonyDawson ZenaMarshall JohnKitzmiller EuniceGayson LoisMaxwell PeterBurton TerenceYoung"
2873,for your eyes only,"['Adventure', 'Action', 'Thriller']","['A', 'British', 'spy', 'ship', 'has', 'sunk', 'and', 'on', 'board', 'was', 'a', 'hi-tech', 'encryption', 'device.', 'James', 'Bond', 'is', 'sent', 'to', 'find', 'the', 'device', 'that', 'holds', 'British', 'launching', 'instructions', 'before', 'the', 'enemy', 'Soviets', 'get', 'to', 'it', 'first.']","['RogerMoore', 'CaroleBouquet', 'ChaimTopol', 'Lynn-HollyJohnson', 'JulianGlover', 'CassandraHarris', 'JillBennett', 'MichaelGothard', 'JohnWyman', 'JackHedley', 'LoisMaxwell', 'DesmondLlewelyn', 'GeoffreyKeen', 'WalterGotell', 'JamesVilliers', 'JohnMoreno', 'CharlesDance', 'PaulAngelis', 'TobyRobins', 'JackKlaff', 'AlkisKritikos', 'StagTheodore', 'StefanKalipha', 'GrahamCrowden', 'NoelJohnson', 'WilliamHoyland', 'PaulBrooke', 'FredBryant', 'RobbinYoung', 'GrahamHawkes', 'JohnWells', 'JanetBrown', 'MaureenBennett', 'AndyBradford', 'JeremyBulloch', 'CliveCurtis', 'LallaDean', 'EvelynDrogue', 'SheenaEaston', 'EvaRueber-Staier']",['JohnGlen'],A British spy ship has sunk and on board was a hi-tech encryption device. James Bond is sent to find the device that holds British launching instructions before the enemy Soviets get to it first. Adventure Action Thriller RogerMoore CaroleBouquet ChaimTopol Lynn-HollyJohnson JulianGlover CassandraHarris JillBennett MichaelGothard JohnWyman JackHedley LoisMaxwell DesmondLlewelyn GeoffreyKeen WalterGotell JamesVilliers JohnMoreno CharlesDance PaulAngelis TobyRobins JackKlaff AlkisKritikos StagTheodore StefanKalipha GrahamCrowden NoelJohnson WilliamHoyland PaulBrooke FredBryant RobbinYoung GrahamHawkes JohnWells JanetBrown MaureenBennett AndyBradford JeremyBulloch CliveCurtis LallaDean EvelynDrogue SheenaEaston EvaRueber-Staier JohnGlen
